city_ascii,state_id,state_name,lat,lng,population,id
Springfield,MA,Massachusetts,42.1155,-72.5395,620494,1840000466
Knoxville,TN,Tennessee,35.9692,-83.9496,619925,1840014486
Baton Rouge,LA,Louisiana,30.442,-91.1311,610751,1840013941
Ogden,UT,Utah,41.2279,-111.9682,608259,1840020135
Grand Rapids,MI,Michigan,42.9619,-85.6562,604311,1840002928
Albany,NY,New York,42.6664,-73.7987,604077,1840000417
Bakersfield,CA,California,35.3529,-119.0359,590845,1840019148
Mission Viejo,CA,California,33.6096,-117.6551,588540,1840020580
New Haven,CT,Connecticut,41.3113,-72.9246,587648,1840004850
Worcester,MA,Massachusetts,42.2705,-71.8079,573573,1840000434
Provo,UT,Utah,40.2457,-111.6457,551645,1840020174
Akron,OH,Ohio,41.0798,-81.5219,546549,1840000791
Palm Bay,FL,Florida,27.9631,-80.6593,528322,1840015094
Des Moines,IA,Iowa,41.5725,-93.6105,514654,1840007069
Murrieta,CA,California,33.5719,-117.1909,509526,1840020553
Mesa,AZ,Arizona,33.4015,-111.7178,497752,1840020566
Staten Island,NY,New York,40.5834,-74.1496,495747,1840034032
Wichita,KS,Kansas,37.6895,-97.3443,491916,1840001686
Toledo,OH,Ohio,41.6638,-83.5827,490832,1840000572
Harrisburg,PA,Pennsylvania,40.2752,-76.8843,472261,1840001288
Port St. Lucie,FL,Florida,27.2796,-80.3884,468979,1840015119
Long Beach,CA,California,33.7977,-118.167,466565,1840020490
Reno,NV,Nevada,39.5497,-119.8483,463328,1840020121
Madison,WI,Wisconsin,43.0822,-89.393,461778,1840002915
Little Rock,AR,Arkansas,34.7256,-92.3577,457379,1840015509
Greenville,SC,South Carolina,34.8354,-82.3646,450487,1840013501
Denton,TX,Texas,33.2175,-97.1418,445814,1840019390
Spokane,WA,Washington,47.6671,-117.433,440270,1840021093
Oakland,CA,California,37.7904,-122.2166,437548,1840020296
Lancaster,PA,Pennsylvania,40.042,-76.3012,430621,1840003718
Poughkeepsie,NY,New York,41.695,-73.9211,423386,1840000500
Boise,ID,Idaho,43.6005,-116.2308,422665,1840027142
Winston-Salem,NC,North Carolina,36.1029,-80.261,420400,1840015324
Syracuse,NY,New York,43.0407,-76.1437,418875,1840000378
Augusta,GA,Georgia,33.3645,-82.0708,409668,1840029462
Stockton,CA,California,37.9765,-121.3109,406822,1840021517
Palm Coast,FL,Florida,29.5389,-81.2457,403834,1840015064
Chattanooga,TN,Tennessee,35.066,-85.2481,403233,1840014569
Kissimmee,FL,Florida,28.3041,-81.4169,399929,1840015109
Durham,NC,North Carolina,35.9792,-78.9022,399762,1840013364
Arlington,TX,Texas,32.6998,-97.125,392304,1840019422
Victorville,CA,California,34.5277,-117.3536,389060,1840021731
Aurora,CO,Colorado,39.7083,-104.7237,383496,1840018794
Modesto,CA,California,37.6375,-121.0028,382994,1840020287
Lancaster,CA,California,34.6935,-118.1753,381732,1840020516
Fayetteville,AR,Arkansas,36.0714,-94.1661,381636,1840013368
Scranton,PA,Pennsylvania,41.4044,-75.6649,376974,1840003389
Oxnard,CA,California,34.1964,-119.1815,366330,1840020474
Youngstown,OH,Ohio,41.0993,-80.6463,363541,1840003563
Indio,CA,California,33.7346,-116.2346,361831,1840019304
Pensacola,FL,Florida,30.4413,-87.1911,360711,1840015005
Anaheim,CA,California,33.839,-117.8574,348204,1840019322
Bonita Springs,FL,Florida,26.3558,-81.7859,347581,1840014227
Greensboro,NC,North Carolina,36.0956,-79.8271,345270,1840013356
Huntsville,AL,Alabama,34.6981,-86.6412,339136,1840005061
Corpus Christi,TX,Texas,27.7254,-97.3767,333764,1840019718
Fort Wayne,IN,Indiana,41.0888,-85.1436,330305,1840008261
Fayetteville,NC,North Carolina,35.085,-78.9772,328827,1840013490
Ann Arbor,MI,Michigan,42.2759,-83.731,327814,1840003172
Jackson,MS,Mississippi,32.3157,-90.2125,326977,1840014895
Antioch,CA,California,37.9787,-121.796,322796,1840018903
Mobile,AL,Alabama,30.6782,-88.1162,322079,1840006009
Lexington,KY,Kentucky,38.0423,-84.4587,321354,1840015211
Asheville,NC,North Carolina,35.5707,-82.5537,316694,1840013411
Trenton,NJ,New Jersey,40.2237,-74.7641,316436,1840001383
Santa Rosa,CA,California,38.4458,-122.7067,314196,1840021488
Santa Ana,CA,California,33.7367,-117.8819,313818,1840021964
Lansing,MI,Michigan,42.7142,-84.5601,312829,1840003102
Henderson,NV,Nevada,36.0133,-115.0381,311250,1840020361
St. Paul,MN,Minnesota,44.9478,-93.1039,309751,1840008940
Lakeland,FL,Florida,28.0557,-81.9545,308994,1840015108
Newark,NJ,New Jersey,40.7245,-74.1725,306247,1840002791
Fort Collins,CO,Colorado,40.5477,-105.0656,301596,1840020151
Reading,PA,Pennsylvania,40.34,-75.9267,299068,1840001185
Springfield,MO,Missouri,37.1943,-93.2916,298722,1840009904
Irvine,CA,California,33.6772,-117.7738,297868,1840019325
Anchorage,AK,Alaska,61.1508,-149.1091,292545,1840023385
The Woodlands,TX,Texas,30.1738,-95.5134,292380,1840019585
South Bend,IN,Indiana,41.6767,-86.2696,290915,1840009241
Rockford,IL,Illinois,42.2596,-89.064,289763,1840009132
Savannah,GA,Georgia,32.0286,-81.1821,289607,1840015830
Lincoln,NE,Nebraska,40.8099,-96.6784,289136,1840009357
Jersey City,NJ,New Jersey,40.7184,-74.0686,287146,1840003600
Round Lake Beach,IL,Illinois,42.3791,-88.0811,287012,1840011171
Flint,MI,Michigan,43.0236,-83.6921,286324,1840002949
Shreveport,LA,Louisiana,32.4653,-93.7955,286200,1840015768
Plano,TX,Texas,33.0502,-96.7486,282181,1840020662
Myrtle Beach,SC,South Carolina,33.7094,-78.8844,281180,1840014717
Davenport,IA,Iowa,41.5565,-90.6053,280282,1840007081
Canton,OH,Ohio,40.8078,-81.3676,277741,1840000963
Santa Clarita,CA,California,34.4175,-118.4964,275230,1840021864
Chula Vista,CA,California,32.6281,-117.0144,274818,1840019350
Eugene,OR,Oregon,44.0564,-123.1174,273904,1840020007
Chandler,AZ,Arizona,33.2825,-111.8514,272439,1840019309
Salem,OR,Oregon,44.9233,-123.0244,268634,1840021224
Concord,NC,North Carolina,35.3933,-80.6369,264492,1840014559
Gilbert,AZ,Arizona,33.31,-111.7463,262249,1840021947
Columbus,GA,Georgia,32.51,-84.8771,262061,1840014887
Aguadilla,PR,Puerto Rico,18.4382,-67.1537,260331,1630035605
Lubbock,TX,Texas,33.5657,-101.8879,259946,1840020604
North Las Vegas,NV,Nevada,36.2883,-115.0888,259638,1840020363
St. Petersburg,FL,Florida,27.7931,-82.6652,258245,1840015977
Tallahassee,FL,Florida,30.4551,-84.2527,257648,1840015913
Laredo,TX,Texas,27.5625,-99.4874,256748,1840021002
Peoria,IL,Illinois,40.752,-89.6154,255718,1840009373
Avondale,AZ,Arizona,33.3873,-112.3235,254537,1840019310
Lafayette,LA,Louisiana,30.2082,-92.0325,254286,1840015044
Irving,TX,Texas,32.8583,-96.9702,254184,1840019438
Montgomery,AL,Alabama,32.3482,-86.2668,253711,1840008353
Visalia,CA,California,36.3276,-119.3269,249804,1840021639
McKinney,TX,Texas,33.2016,-96.667,248840,1840020657
Wilmington,NC,North Carolina,34.2099,-77.8866,247372,1840015576
Chesapeake,VA,Virginia,36.6778,-76.3023,247172,1840003874
Glendale,AZ,Arizona,33.5791,-112.2311,245685,1840020563
Garland,TX,Texas,32.91,-96.6304,245075,1840020707
Kennewick,WA,Washington,46.1978,-119.1732,241230,1840018481
Winter Haven,FL,Florida,28.0118,-81.7014,240768,1840015970
Scottsdale,AZ,Arizona,33.6872,-111.8651,238685,1840021940
Norfolk,VA,Virginia,36.8945,-76.259,238556,1840003869
Killeen,TX,Texas,31.0753,-97.7297,238288,1840020854
York,PA,Pennsylvania,39.9651,-76.7315,236818,1840001472
Atlantic City,NJ,New Jersey,39.3797,-74.4527,236314,1840003798
Nashua,NH,New Hampshire,42.7491,-71.491,235982,1840002984
Arlington,VA,Virginia,38.8786,-77.1011,235764,1840006112
Brownsville,TX,Texas,25.9975,-97.458,235735,1840019743
Fremont,CA,California,37.5265,-121.9843,231502,1840020292
Gulfport,MS,Mississippi,30.4274,-89.0704,231423,1840013947
Evansville,IN,Indiana,37.9881,-87.5341,226788,1840013730
Hialeah,FL,Florida,25.8696,-80.3045,224362,1840015157
Navarre,FL,Florida,30.4174,-86.8907,223951,1840027017
Bel Air South,MD,Maryland,39.5022,-76.3113,222834,1840073592
North Port,FL,Florida,27.0576,-82.1977,221616,1840015120
San Bernardino,CA,California,34.1416,-117.2943,220821,1840021728
Portland,ME,Maine,43.6773,-70.2715,220807,1840000327
Enterprise,NV,Nevada,36.0091,-115.2278,219566,1840033827
Bremerton,WA,Washington,47.5436,-122.7121,219538,1840018410
Green Bay,WI,Wisconsin,44.5148,-87.9895,219472,1840002344
Appleton,WI,Wisconsin,44.278,-88.3892,218448,1840002400
Spring Valley,NV,Nevada,36.0952,-115.2636,217441,1840033832
Tacoma,WA,Washington,47.2431,-122.4531,217332,1840021129
Spartanburg,SC,South Carolina,34.9442,-81.9251,216021,1840015482
Roanoke,VA,Virginia,37.2785,-79.9581,215781,1840003858
Gainesville,FL,Florida,29.6804,-82.3459,213287,1840014022
Deltona,FL,Florida,28.905,-81.2137,212616,1840015072
Kalamazoo,MI,Michigan,42.2749,-85.5882,212033,1840003185
Thousand Oaks,CA,California,34.1914,-118.8756,211045,1840021844
Hickory,NC,North Carolina,35.741,-81.3223,211042,1840014524
Yonkers,NY,New York,40.9466,-73.8673,209730,1840003478
Moreno Valley,CA,California,33.9244,-117.2045,208371,1840020552
Fontana,CA,California,34.0968,-117.4599,208087,1840020402
College Station,TX,Texas,30.5852,-96.2959,207514,1840019570
Fargo,ND,North Dakota,46.8651,-96.8292,207310,1840000177
Amarillo,TX,Texas,35.1984,-101.8316,204357,1840019156
Norwich,CT,Connecticut,41.5495,-72.0882,201726,1840004828
Olympia,WA,Washington,47.0417,-122.8959,200836,1840019865
Waterbury,CT,Connecticut,41.5582,-73.0361,199552,1840004851
Salinas,CA,California,36.6883,-121.6317,199290,1840021632
Huntington,WV,West Virginia,38.4109,-82.4345,199133,1840006211
Huntington Beach,CA,California,33.696,-118.0018,198735,1840020578
Clarksville,TN,Tennessee,36.5692,-87.3413,198689,1840014421
Santa Barbara,CA,California,34.4285,-119.7202,198240,1840021829
Glendale,CA,California,34.1819,-118.2468,196512,1840020483
Sunrise Manor,NV,Nevada,36.1783,-115.0487,196411,1840033833
Grand Prairie,TX,Texas,32.6871,-97.0208,195992,1840020709
Overland Park,KS,Kansas,38.887,-94.687,195249,1840003834
Hagerstown,MD,Maryland,39.6401,-77.7217,194602,1840005613
Nampa,ID,Idaho,43.5844,-116.5638,194547,1840020041
Gastonia,NC,North Carolina,35.2494,-81.1854,194190,1840013468
Frisco,TX,Texas,33.156,-96.8216,193140,1840020654
Cedar Rapids,IA,Iowa,41.9662,-91.6783,192714,1840000471
Hemet,CA,California,33.7341,-116.9969,191170,1840020550
Paradise,NV,Nevada,36.0872,-115.1355,189852,1840033743
Sioux Falls,SD,South Dakota,43.5396,-96.7311,189258,1840002648
Vancouver,WA,Washington,45.6366,-122.5967,188331,1840021189
Peoria,AZ,Arizona,33.7843,-112.2989,187733,1840020567
Waco,TX,Texas,31.5599,-97.1882,187172,1840022140
Lorain,OH,Ohio,41.4409,-82.184,186500,1840000644
Erie,PA,Pennsylvania,42.1167,-80.0733,186489,1840000478
Newport News,VA,Virginia,37.1051,-76.5185,185069,1840003862
Aurora,IL,Illinois,41.7638,-88.2902,183447,1840007034
Fort Lauderdale,FL,Florida,26.1412,-80.1464,182247,1840014236
Vallejo,CA,California,38.1125,-122.2342,181882,1840021499
Murfreesboro,TN,Tennessee,35.849,-86.4121,181450,1840014495
Spring Hill,FL,Florida,28.4798,-82.53,179668,1840014105
Tempe,AZ,Arizona,33.3881,-111.9319,178862,1840021942
High Point,NC,North Carolina,35.991,-79.9937,178800,1840014479
Medford,OR,Oregon,42.3372,-122.854,178457,1840020076
Danbury,CT,Connecticut,41.4015,-73.4709,177722,1840004837
Elk Grove,CA,California,38.4161,-121.3842,175510,1840020245
Ontario,CA,California,34.0393,-117.6064,175223,1840020410
Frederick,MD,Maryland,39.4337,-77.4141,175032,1840005710
Vero Beach South,FL,Florida,27.6132,-80.4163,174748,1840073853
Ocala,FL,Florida,29.178,-82.1511,174618,1840015067
Oceanside,CA,California,33.2247,-117.3083,174461,1840020623
Rancho Cucamonga,CA,California,34.1247,-117.5667,173946,1840020411
Garden Grove,CA,California,33.7787,-117.9601,172708,1840020577
Cary,NC,North Carolina,35.7819,-78.8195,171603,1840016196
Pembroke Pines,FL,Florida,26.0128,-80.3382,170346,1840015141
Bayamon,PR,Puerto Rico,18.3794,-66.1635,170028,1630035622
Palmdale,CA,California,34.5944,-118.1057,167987,1840020502
Manchester,NH,New Hampshire,42.9848,-71.4447,167568,1840002983
Lafayette,IN,Indiana,40.3991,-86.8593,166793,1840008354
Santa Cruz,CA,California,36.9789,-122.0346,165933,1840021579
Marysville,WA,Washington,48.0809,-122.1561,164655,1840019789
Muskegon,MI,Michigan,43.2281,-86.2562,164136,1840002870
Springfield,IL,Illinois,39.7709,-89.654,162588,1840009517
Hayward,CA,California,37.6328,-122.0766,162254,1840020293
New Bedford,MA,Massachusetts,41.6697,-70.9428,158353,1840003219
Alexandria,VA,Virginia,38.8185,-77.0861,158185,1840003837
Paterson,NJ,New Jersey,40.9147,-74.1624,157927,1840000838
Corona,CA,California,33.8616,-117.5649,157844,1840019305
Merced,CA,California,37.3057,-120.4779,157617,1840020313
Warner Robins,GA,Georgia,32.5961,-83.6527,157416,1840015800
Port Arthur,TX,Texas,29.8554,-93.9264,156988,1840020919
Macon,GA,Georgia,32.8065,-83.6974,156711,1840043455
Kansas City,KS,Kansas,39.1235,-94.7443,155745,1840001626
Lakewood,CO,Colorado,39.6977,-105.1172,155608,1840020198
Sunnyvale,CA,California,37.3836,-122.0255,155550,1840021573
Fredericksburg,VA,Virginia,38.2992,-77.4872,155414,1840003845
Leesburg,FL,Florida,28.7672,-81.8962,154301,1840015083
Champaign,IL,Illinois,40.1142,-88.2737,153278,1840007239
Hollywood,FL,Florida,26.0293,-80.1679,152597,1840015144
Pasadena,TX,Texas,29.6575,-95.1498,151964,1840020930
Pomona,CA,California,34.0585,-117.7626,151592,1840020507
Escondido,CA,California,33.1348,-117.0723,151443,1840020620
Joliet,IL,Illinois,41.5188,-88.1499,150323,1840008192
Lake Charles,LA,Louisiana,30.201,-93.2111,150036,1840015039
Mesquite,TX,Texas,32.7602,-96.5865,149848,1840020713
Mauldin,SC,South Carolina,34.7821,-82.3032,149687,1840015476
Panama City,FL,Florida,30.1995,-85.6003,149366,1840015034
Bellevue,WA,Washington,47.5951,-122.1535,149365,1840018417
Naperville,IL,Illinois,41.748,-88.1659,149013,1840008143
Harlingen,TX,Texas,26.1916,-97.6977,148545,1840021036
Tuscaloosa,AL,Alabama,33.2348,-87.5268,148523,1840005563
Elkhart,IN,Indiana,41.6916,-85.9627,147679,1840008187
Torrance,CA,California,33.8346,-118.3416,147156,1840021873
Binghamton,NY,New York,42.1014,-75.9093,146870,1840000460
Houma,LA,Louisiana,29.58,-90.7059,146665,1840015063
Topeka,KS,Kansas,39.0346,-95.6955,146473,1840001621
Roseville,CA,California,38.7703,-121.3196,145687,1840020233
Fairfield,CA,California,38.2583,-122.0335,145163,1840020253
Tyler,TX,Texas,32.3184,-95.3062,143895,1840022076
Fullerton,CA,California,33.8841,-117.9279,142964,1840020576
Pueblo,CO,Colorado,38.2701,-104.6114,142727,1840020255
Athens,GA,Georgia,33.9508,-83.3689,142277,1840029463
Santa Maria,CA,California,34.9333,-120.4431,142230,1840021830
Surprise,AZ,Arizona,33.6815,-112.4515,141875,1840021941
Charleston,WV,West Virginia,38.3484,-81.6322,141640,1840006196
Las Cruces,NM,New Mexico,32.3265,-106.7893,141399,1840020683
Metairie,LA,Louisiana,29.9977,-90.178,140590,1840013994
Thornton,CO,Colorado,39.9197,-104.9438,140538,1840021422
Olathe,KS,Kansas,38.8833,-94.82,140339,1840003833
Carolina,PR,Puerto Rico,18.4054,-65.9792,139735,1630035637
Gainesville,GA,Georgia,34.2902,-83.8294,139507,1840013612
West Valley City,UT,Utah,40.6886,-112.0123,139361,1840021389
Orange,CA,California,33.8038,-117.8218,139195,1840020582
Warren,MI,Michigan,42.4934,-83.027,138996,1840002418
Pasadena,CA,California,34.1597,-118.139,138771,1840020505
Beaumont,TX,Texas,30.0849,-94.1451,137549,1840019612
Burlington,NC,North Carolina,36.076,-79.4685,137096,1840013362
Hampton,VA,Virginia,37.0551,-76.363,136748,1840003866
Columbia,MO,Missouri,38.9472,-92.3268,136736,1840007391
Yuma,AZ,Arizona,32.5995,-114.5491,135933,1840021998
Elizabeth,NJ,New Jersey,40.6658,-74.1913,135772,1840003613
Racine,WI,Wisconsin,42.7274,-87.8135,135352,1840002493
Greeley,CO,Colorado,40.4152,-104.7706,135270,1840020149
Kent,WA,Washington,47.3887,-122.2128,134890,1840018424
Stamford,CT,Connecticut,41.1039,-73.5585,134820,1840004841
Odessa,TX,Texas,31.8801,-102.3448,134793,1840020794
Bloomington,IL,Illinois,40.4757,-88.9703,134357,1840007207
Miramar,FL,Florida,25.9773,-80.3351,134306,1840015137
Grand Junction,CO,Colorado,39.0877,-108.5673,134074,1840020230
Sterling Heights,MI,Michigan,42.5809,-83.0305,134062,1840003094
Coral Springs,FL,Florida,26.2702,-80.2591,133693,1840015134
Johnson City,TN,Tennessee,36.3406,-82.3806,131902,1840014462
Carrollton,TX,Texas,32.989,-96.8999,131388,1840019436
Midland,TX,Texas,32.0243,-102.1147,130765,1840020792
Yakima,WA,Washington,46.5923,-120.5496,130440,1840021154
Bellingham,WA,Washington,48.7548,-122.469,129601,1840018346
Yuba City,CA,California,39.1357,-121.6383,129536,1840021463
South Lyon,MI,Michigan,42.4614,-83.6526,128071,1840002432
Santa Clara,CA,California,37.3646,-121.968,127922,1840021571
St. George,UT,Utah,37.0758,-113.5752,127890,1840021559
Fort Smith,AR,Arkansas,35.3495,-94.3695,127699,1840013456
Simi Valley,CA,California,34.2663,-118.749,127158,1840021843
Dover,DE,Delaware,39.161,-75.5202,125931,1840005810
Norman,OK,Oklahoma,35.2335,-97.3471,125745,1840020451
Abilene,TX,Texas,32.4543,-99.7384,125474,1840019476
Billings,MT,Montana,45.7891,-108.5526,124973,1840018496
Ponce,PR,Puerto Rico,18.0127,-66.6212,124719,1630023669
Lehigh Acres,FL,Florida,26.612,-81.6388,123751,1840014220
St. Cloud,MN,Minnesota,45.534,-94.1718,123569,1840008881
Arecibo,PR,Puerto Rico,18.4491,-66.7387,123499,1630023566
Kenosha,WI,Wisconsin,42.5865,-87.8773,123061,1840003160
Greenville,NC,North Carolina,35.5943,-77.376,122921,1840013407
Arvada,CO,Colorado,39.832,-105.151,122903,1840018788
Pearland,TX,Texas,29.5581,-95.3218,122609,1840020979
Independence,MO,Missouri,39.0871,-94.3501,122230,1840008534
Texas City,TX,Texas,29.4154,-94.9682,122017,1840022234
Redding,CA,California,40.5698,-122.365,121498,1840020141
Lynchburg,VA,Virginia,37.4003,-79.1909,120877,1840003855
Boulder,CO,Colorado,40.0248,-105.2524,120818,1840018774
Iowa City,IA,Iowa,41.6559,-91.5303,120015,1840000532
Rochester,MN,Minnesota,44.0154,-92.478,119732,1840008987
Berkeley,CA,California,37.8722,-122.276,119607,1840018914
Waldorf,MD,Maryland,38.6085,-76.9194,119442,1840006175
The Villages,FL,Florida,28.9034,-81.9887,119296,1840014065
Duluth,MN,Minnesota,46.7756,-92.1393,118975,1840007685
East Los Angeles,CA,California,34.0326,-118.1691,118964,1840019206
Saginaw,MI,Michigan,43.4199,-83.9501,118845,1840002813
Clovis,CA,California,36.8278,-119.683,118488,1840018944
Leominster,MA,Massachusetts,42.5209,-71.7717,118190,1840000437
Round Rock,TX,Texas,30.527,-97.6642,117735,1840020879
Monroe,LA,Louisiana,32.5185,-92.0774,117197,1840014881
Cambridge,MA,Massachusetts,42.3759,-71.1185,116892,1840000429
Clearwater,FL,Florida,27.979,-82.7623,116616,1840015110
Seaside,CA,California,36.6224,-121.8199,116189,1840021634
West Jordan,UT,Utah,40.6024,-112.0008,116045,1840021388
Richardson,TX,Texas,32.9716,-96.7093,115904,1840020710
West Palm Beach,FL,Florida,26.7469,-80.132,115877,1840015993
Temple,TX,Texas,31.1068,-97.3891,115809,1840022154
Burlington,VT,Vermont,44.4876,-73.2316,115682,1840002310
Richmond,CA,California,37.9477,-122.3389,115677,1840020277
Westminster,CO,Colorado,39.8837,-105.0624,115535,1840021423
Pottstown,PA,Pennsylvania,40.2508,-75.6445,115413,1840001373
Brandon,FL,Florida,27.9367,-82.3,115330,1840014151
Rock Hill,SC,South Carolina,34.9415,-81.0241,115292,1840014618
Meridian,ID,Idaho,43.6116,-116.3977,115227,1840020046
Coeur d'Alene,ID,Idaho,47.704,-116.7936,114880,1840018402
Carlsbad,CA,California,33.1246,-117.2834,114858,1840019352
Lowell,MA,Massachusetts,42.6389,-71.3217,114804,1840000426
Waterloo,IA,Iowa,42.4918,-92.3522,114594,1840000440
North Charleston,SC,South Carolina,32.9067,-80.0722,114542,1840015164
Gilroy,CA,California,37.0046,-121.5854,114461,1840020327
Downey,CA,California,33.9379,-118.1311,114293,1840019245
Gresham,OR,Oregon,45.5021,-122.4413,114164,1840019939
Elgin,IL,Illinois,42.0383,-88.324,114156,1840008134
Utica,NY,New York,43.0962,-75.2261,112948,1840002746
Broken Arrow,OK,Oklahoma,36.038,-95.7806,112751,1840019059
Costa Mesa,CA,California,33.6667,-117.9135,112148,1840019326
Chico,CA,California,39.7578,-121.8161,112132,1840018778
Sioux City,IA,Iowa,42.4959,-96.3901,111924,1840000447
League City,TX,Texas,29.4874,-95.1087,111847,1840020973
Miami Gardens,FL,Florida,25.9433,-80.2426,111706,1840015151
Pompano Beach,FL,Florida,26.2428,-80.1312,111423,1840015143
San Buenaventura,CA,California,34.2741,-119.2314,110572,1840037414
Everett,WA,Washington,47.9525,-122.1669,110438,1840019785
El Centro,CA,California,32.7865,-115.5595,110434,1840020630
Sugar Land,TX,Texas,29.5935,-95.6358,110272,1840022217
El Monte,CA,California,34.0739,-118.0291,110144,1840020480
Lewisville,TX,Texas,33.0454,-96.9815,110077,1840020639
West Covina,CA,California,34.0555,-117.9113,109396,1840021876
Temecula,CA,California,33.4928,-117.1315,109376,1840021937
Bend,OR,Oregon,44.0563,-121.3095,109224,1840018618
Salisbury,MD,Maryland,38.3756,-75.5865,108982,1840006219
Jacksonville,NC,North Carolina,34.7289,-77.3941,108549,1840014653
Inglewood,CA,California,33.9566,-118.3444,108206,1840019237
Dearborn,MI,Michigan,42.3127,-83.213,107985,1840003969
Centennial,CO,Colorado,39.5926,-104.8673,107972,1840018792
Burbank,CA,California,34.1879,-118.3235,107364,1840019233
Sparks,NV,Nevada,39.5736,-119.7161,106900,1840021337
